,Expected Return,Portfolio Variance,Portfolio Std,Sharpe Ratio,SPY,VTWO,IJH,VEU,VWO,VT,AGG
7436,0.09476165350618672,0.03799826685289793,0.19493144141697083,0.38352793660549994,0.15340906403906268,0.22452675821549792,0.04200160066943366,0.060783194712892154,0.2514542790647703,0.24005806366024401,0.027767039638099296
8613,0.09627558640921202,0.03955697701863689,0.19888935873655203,0.38350762903432317,0.009257979157560693,0.2491425280168027,0.1903214941562436,0.2026393457613597,0.16049338559030293,0.18787821676610827,0.0002670505516220437
1681,0.08096644969064033,0.025272419432065256,0.15897301479202455,0.3835018777897576,0.18420337302908663,0.13415059379004501,0.010315501872953563,0.06435421207423343,0.2672741182944263,0.10481492327673327,0.2348872776625217
6300,0.08281015129908524,0.02682433172154595,0.16378135340003133,0.3835000138609993,0.14002739721319496,0.15671646074116707,0.122215635508201,0.1618076926559363,0.12568518202559034,0.12207898208255956,0.17146864977335066
2366,0.08977427653249981,0.033107593123987186,0.1819549205819595,0.3834701271575164,0.21759268701254902,0.2223420084087814,0.1060315208060459,0.1415565314874231,0.030206494570460908,0.24880557221129074,0.03346518550344886
9770,0.08937331332301215,0.032728730727617734,0.1809108364018522,0.38346687629543175,0.2656670093443702,0.012738575941955878,0.3770766457613037,0.008331521220588023,0.14400569308824582,0.08316703243587258,0.10901352220766378
6380,0.07938857419048168,0.023987993454388342,0.15488057804123906,0.3834475241606385,0.28716296535308705,0.09553942895505674,0.17607040539400742,0.11685622049985697,0.039228030414255,0.09221114414910823,0.19293180523462858
2986,0.09150397828865844,0.03477504652328463,0.18648068672997917,0.3834390549633431,0.17453461535111117,0.18861992015313592,0.1949957558833582,0.15646053711113947,0.18929078751830325,0.03472950716893241,0.061368876814019514
4319,0.09204696358272393,0.03530665149055345,0.18790064260282202,0.3834311718401855,0.23617865488954498,0.06280414828556258,0.3691651729597873,0.031067561180717053,0.006512231528256214,0.25747542677633195,0.0367968043798
7144,0.08266885595516733,0.02671383220396289,0.16344366676002742,0.3834278635413846,0.10768581665863144,0.1191889617571838,0.21932744147372055,0.1772454684427293,0.11470038740293213,0.0775790861150156,0.18427283814978718
9644,0.09011866387562698,0.03344394119018656,0.1828768470588515,0.3834201267318554,0.24960153972767782,0.1150756576595853,0.19505912124221755,0.047607007455823566,0.24850712070367748,0.042909295660837225,0.10124025755018111
2491,0.09352313569542707,0.036770599360660565,0.1917566149071801,0.3834190321466406,0.2605043820226857,0.18388766760800093,0.136485118563636,0.05451106186854884,0.10745566270156325,0.2530709519969857,0.004085155238579708
9174,0.08971419754715959,0.03306141409803141,0.1818279794146968,0.3834074259174478,0.11071086791421104,0.18660473020731008,0.17562297147238198,0.164268817562137,0.13948624482849614,0.1425736460708016,0.0807327219446623
3641,0.07808873366748384,0.02295480439974316,0.15150843012764392,0.3834026503907724,0.0888694069619697,0.16028842928859743,0.12189925945109474,0.2247811026249978,0.018829490983102003,0.17088930302125807,0.21444300766898028
1670,0.07620378162711908,0.021490058804989862,0.14659487987303602,0.38339525688616455,0.34263945007567786,0.08172765703949979,0.15172915790258978,0.11093057991062177,0.04025222387268327,0.04053417610321564,0.23218675509571204
5462,0.06728161920760205,0.015209021757839723,0.12332486269134753,0.3833908116803387,0.12363129970140228,0.0067644548076808055,0.05591472280525542,0.052396060849289106,0.12435163185413997,0.21390272037460006,0.42303910960763236
6189,0.0815246198092511,0.025753295871421836,0.1604783345857684,0.38338271622808356,0.16787219362661587,0.16675991348268193,0.12112683549096047,0.18750383684844882,0.07871934606673592,0.10684138260092636,0.17117649188363082
5969,0.09468080794183181,0.03794582074444536,0.19479687046881775,0.383377863115036,0.1995627700021724,0.19847560265703507,0.08637918261403436,0.041266201792186444,0.1823308223628078,0.2817735635338889,0.010211857037875053
3414,0.08819249621798231,0.0316391917102443,0.17787408948535563,0.38337509648136014,0.15819668192625316,0.09440141331580773,0.17954046631116877,0.030501240894370805,0.20088622671114015,0.2052475417808494,0.13122642906041002
5637,0.08252224497705454,0.026596354720044683,0.16308388859738623,0.38337474973635494,0.13256241286954004,0.17052081602774022,0.1649876273749213,0.2196139217014067,0.0905621297502458,0.05660520029203673,0.1651478919841092
